name,symbol,country,exchange,sector
Ormat Technologies Inc. ,ora,united states,xnys,renewable energy generation
Ormat Technologies Inc. ,hnm,united states,xetr,renewable energy generation
Ormester Vagyonvedelmi Nyrt. ,orm,hungary,xbud,diversified business services
Ormonde Mining PLC ,orq1,ireland,xdub,gold
Ormonde Mining PLC ,orm,united kingdom,xlon,gold
Orn Software Holding A/S ,orn,norway,xosl,software
Ornapaper Bhd ,5065,malaysia,xkls,containers/packaging
Oro Co. Ltd. ,3983,japan,xtks,internet/online
Orobal Gestion S.A. ,s2310,spain,xmad,mutual & other funds
Oroco Resource Corp. ,orrcf,united states,ootc,general mining
Oroco Resource Corp. ,oco,canada,xtsx,general mining
Orogen Royalties Inc. ,ognrf,united states,ootc,general mining
Orogen Royalties Inc. ,ogn,canada,xtsx,general mining
Oron Group Investments & Holdings Ltd. ,oron,israel,xtae,real estate developers
Orora Ltd. ,ora,australia,xasx,containers/packaging
Orosil Smiths India Ltd. ,531626,india,xbom,jewelry & watches
Orosur Mining Inc. ,oroxf,united states,ootc,gold
Orosur Mining Inc. ,omi,united kingdom,xlon,gold
Orosur Mining Inc. ,omi,canada,xtsx,gold
Orpea S.A. ,0nex,united kingdom,xlon,healthcare provision
Orpea S.A. ,orpef,united states,ootc,healthcare provision
Orpea S.A. ,orp,france,xpar,healthcare provision
Orpea S.A. ,orpn,mexico,xmex,healthcare provision
Orpea S.A. ADR ,orrry,united states,ootc,healthcare provision
Orphazyme A/S ,ozymf,united states,ootc,biotechnology
Orphazyme A/S ,orpha,denmark,xcse,biotechnology
Orphazyme A/S ADR ,orphy,united states,ootc,biotechnology
Orpheum Property Inc. ,plff,united states,ootc,real estate developers
Orrstown Financial Services Inc. ,orrf,united states,xnas,banking
Orsero S.p.A. ,0ycg,united kingdom,xlon,food retail
Orsero S.p.A. ,ors,italy,xmil,food retail
Orseven S.A. ,s2259,spain,xmad,mutual & other funds
Orsu Metals Corp. ,osu,canada,xtsx,gold
Orsu Metals Corp. ,orsuf,united states,ootc,gold
Ortel Communications Ltd. ,539015,india,xbom,None
Orthex Oyj ,orthex,finland,xhel,housewares
Ortho Clinical Diagnostics Holdings PLC ,ocdx,united states,xnas,healthcare provision
Ortho Regenerative Technologies Inc. ,ortif,united states,ootc,medical equipment/supplies
Ortho Regenerative Technologies Inc. ,orth,canada,xcnq,medical equipment/supplies
Orthocell Ltd. ,occ,australia,xasx,biotechnology
Orthofix Medical Inc. ,ofix,united states,xnas,medical equipment/supplies
OrthoPediatrics Corp. ,kids,united states,xnas,medical equipment/supplies
Ortin Laboratories Ltd. ,539287,india,xbom,pharmaceuticals
Ortivus AB Series A ,orti.a,sweden,xsto,medical equipment/supplies
Ortivus AB Series B ,orti.b,sweden,xsto,medical equipment/supplies
Ortoma AB Series B ,ort.b,sweden,xsat,medical equipment/supplies
Orvana Minerals Corp. ,orvmf,united states,ootc,gold
Orvana Minerals Corp. ,orv,canada,xtse,gold
Orvis Corp. ,7827,japan,xjas,forestry & wood products
Oryx Properties Ltd. ,ory,namibia,xnam,real estate developers
Oryzon Genomics S.A. ,ory,spain,xmad,biotechnology
