name,symbol,country,exchange,sector
i3 Energy PLC ,iteef,united states,ootc,oil extraction
I3 Interactive Inc. ,bets,canada,xcnq,toys & games
i3 Systems Inc. ,4495,japan,xtks,software
i3 Verticals Inc. Cl A ,iiiv,united states,xnas,software
i3system Inc. ,214430,south korea,xkrx,medical equipment/supplies
i-80 Gold Corp. ,iau,canada,xtse,gold
i-80 Gold Corp. ,iaux,united states,xase,gold
iA Financial Corp. Inc. ,iafnf,united states,ootc,life insurance
iA Financial Corp. Inc. ,iag,canada,xtse,life insurance
iA Inc. ,038880,south korea,xkrx,semiconductors
IAA Inc. ,iaa,united states,xnys,specialty retail
IAC/InterActiveCorp. ,iac,united states,xnas,internet/online
IAG Holdings Ltd. ,8513,hong kong,xhkg,industrial products
IAMGOLD Corp. ,ial,germany,xfra,gold
IAMGOLD Corp. ,0xgn,united kingdom,xlon,gold
IAMGOLD Corp. ,img,canada,xtse,gold
IAMGOLD Corp. ,iag,united states,xnys,gold
iAnthus Capital Holdings Inc. ,ithuf,united states,ootc,farming
iAnthus Capital Holdings Inc. ,ian,canada,xcnq,farming
IAR S.A. ,iarv,romania,xbse,aerospace products/parts
IAR Systems Group AB Series B ,iar.b,sweden,xsto,internet/online
IAR Systems Group AB Series B ,0qtv,united kingdom,xlon,internet/online
iArgento Hi Tech Assets L.P. ,iarg,israel,xtae,investment advisors
IAT Automobile Technology Co. Ltd. ,300825,china,xshe,automobiles
IB Infotech Enterprises Ltd. ,519463,india,xbom,shell companies
IB Maroc.com S.A. ,ibc,morocco,xcas,computer services
iBASE Gaming Inc. ,6441,taiwan,roco,semiconductors
Ibase Technology Inc. ,8050,taiwan,roco,computers/consumer electronics
IBC Advanced Alloys Corp. ,iaalf,united states,ootc,non-ferrous metals
IBC Advanced Alloys Corp. ,ib,canada,xtsx,non-ferrous metals
IBC Polska F&P S.A. ,ibc,poland,xwar,industrial machinery
Iberdrola S.A. ,ibdsf,united states,ootc,electric utilities
Iberdrola S.A. ,ibe,spain,xmad,electric utilities
Iberdrola S.A. ,ibe1,united states,xetr,electric utilities
Iberdrola S.A. ,0hit,united kingdom,xlon,electric utilities
Iberdrola S.A. ADR ,ibdry,united states,ootc,electric utilities
Ibere Pharmaceuticals ,iber.ut,united states,xnys,shell companies
Ibere Pharmaceuticals Cl A ,iber,united states,xnys,shell companies
Ibere Pharmaceuticals Wt ,iber.wt,united states,xnys,None
Ibernessis Inversiones S.A. ,s3219,spain,xmad,mutual & other funds
Iberpapel Gestion S.A. ,ibg,spain,xmad,paper/pulp
Ibersol SGPS S/A ,0kj7,united kingdom,xlon,restaurants
Ibersol SGPS S/A ,ibs,portugal,xlis,restaurants
IBEX Ltd. ,ibex,united states,xnas,software
IBEX Technologies Inc. ,ibxnf,united states,ootc,biotechnology
IBEX Technologies Inc. ,ibt,canada,xtsx,biotechnology
IBF Financial Holdings Co. Ltd. ,2889,taiwan,xtai,securities
I-Bhd ,4251,malaysia,xkls,real estate developers
IBI Group Holdings Ltd. ,1547,hong kong,xhkg,construction
IBI Group Inc. ,ibg,canada,xtse,diversified business services
IBI Group Inc. ,ibibf,united states,ootc,diversified business services
Ibiden Co. Ltd. ,ibidf,united states,ootc,industrial electronics
Ibiden Co. Ltd. ,4062,japan,xtks,industrial electronics
iBio Inc. ,ibio,united states,xase,biotechnology
IBJ Inc. ,6071,japan,xtks,diversified business services
Ibkimyoung Co. Ltd. ,339950,south korea,xkrx,consumer services
IBKS No. 16 Special Purpose Acquisition Co. Ltd. ,388790,south korea,xkrx,shell companies
IBKS No. 17 Special Purpose Acquisition Co. Ltd. ,405350,south korea,xkrx,shell companies
IBL Healthcare Ltd. ,iblhl,pakistan,xkar,pharmaceuticals
IBL Ltd. ,ibl,mauritius,xmau,diversified holding companies
Ibn Alhaytham Hospital Co. ,ibnh,jordan,xamm,healthcare provision
IBN SINA Pharmaceuticals Ltd. ,ibnsina,bangladesh,xdha,pharmaceuticals
Ibnsina Pharma ,isph,egypt,nilx,drug retail
IBO Technology Co. Ltd. ,2708,hong kong,xhkg,emerging technologies
Ibraco Bhd ,5084,malaysia,xkls,real estate developers
