name,symbol,country,exchange,sector
United Airlines Holdings Inc. ,ual1,united states,xetr,passenger airlines
United Alloy-Tech. Co. Ltd. ,3162,taiwan,roco,sports goods
United American Healthcare Corp. ,uahc,united states,ootc,medical equipment/supplies
United American Petroleum Corp. ,uapc,united states,ootc,oil extraction
United Arab Bank ,uab,united arab emirates,xads,banking
United Arab Shipping Co. ,uasg,egypt,nilx,water transport/shipping
United Arrows Ltd. ,7606,japan,xtks,clothing retail
United Bancorp Inc. ,ubcp,united states,xnas,banking
United Bancorp of Alabama Inc. ,ubab,united states,ootc,banking
United Bancshares Inc. ,uboh,united states,xnas,banking
United Bank for Africa PLC ,uba,nigeria,xnsa,banking
